Wed 2023-06-14 00:00:00; 65
Wed 2023-06-14 01:00:00; 61
Wed 2023-06-14 02:00:00; 47
Wed 2023-06-14 03:00:00; 58
Wed 2023-06-14 04:00:00; 67
Wed 2023-06-14 05:00:00; 28
Wed 2023-06-14 06:00:00; 33
Wed 2023-06-14 07:00:00; 40
Wed 2023-06-14 08:00:00; 57
Wed 2023-06-14 09:00:00; 58
Wed 2023-06-14 10:00:00; 74
Wed 2023-06-14 11:00:00; 74
Wed 2023-06-14 12:00:00; 81
Wed 2023-06-14 13:00:00; 65
Wed 2023-06-14 14:00:00; 54
Wed 2023-06-14 15:00:00; 84
Wed 2023-06-14 16:00:00; 89
Wed 2023-06-14 17:00:00; 59
Wed 2023-06-14 18:00:00; 47
Wed 2023-06-14 19:00:00; 68
Wed 2023-06-14 20:00:00; 55
Wed 2023-06-14 21:00:00; 48
Wed 2023-06-14 22:00:00; 41
Wed 2023-06-14 23:00:00; 65
